000.png: U-1, D-1, 
001.png: U-1, D-1, 
002.png: U-0, D-1, 
003.png: U-0, D-1, 
004.png: U-1, D-1, 
005.png: U-0, D-1, 
006.png: U-1, D-0, 
007.png: U-1, D-1, 
008.png: U-0, D-1, 
009.png: U-0, D-1, 
010.png: U-0, D-1, 
011.png: U-1, D-1, 
012.png: U-1, D-1, 
013.png: U-1, D-1, 
014.png: U-0, D-1, 
015.png: U-0, D-1, 
016.png: U-0, D-1, 
017.png: U-1, D-1, 
018.png: U-1, D-1, 
019.png: U-1, D-1, 
020.png: U-1, D-1, 
021.png: U-0, D-1, 
022.png: U-0, D-1, 
023.png: U-0, D-1, 
024.png: U-0, D-1, 
025.png: U-0, D-1, 
026.png: U-0, D-1, 
027.png: U-1, D-1, 
028.png: U-1, D-1, 
029.png: U-0, D-1, 
030.png: U-1, D-1, 
031.png: U-1, D-0, 
032.png: U-1, D-1, 
033.png: U-0, D-1, 
034.png: U-0, D-1, 
035.png: U-1, D-1, 
036.png: U-1, D-0, 
037.png: U-1, D-1, 
038.png: U-1, D-1, 
039.png: U-1, D-1, 
040.png: U-1, D-1, 
041.png: U-1, D-1, 
042.png: U-1, D-1, 
043.png: U-1, D-1, 
044.png: U-1, D-1, 
045.png: U-1, D-1, 
046.png: U-0, D-1, 
047.png: U-0, D-1, 
048.png: U-0, D-1, 
049.png: U-1, D-1, 
050.png: U-1, D-1, 
051.png: U-1, D-1, 
052.png: U-1, D-0, 
053.png: U-0, D-1, 
054.png: U-1, D-1, 
055.png: U-1, D-0, 
056.png: U-0, D-1, 
057.png: U-1, D-0, 
058.png: U-0, D-1, 
059.png: U-1, D-0, 
060.png: U-1, D-1, 
061.png: U-1, D-0, 
062.png: U-1, D-1, 
063.png: U-1, D-0, 
064.png: U-1, D-0, 
065.png: U-1, D-1, 
066.png: U-1, D-1, 
067.png: U-1, D-1, 
068.png: U-0, D-1, 
069.png: U-1, D-0, 
070.png: U-1, D-0, 
071.png: U-1, D-1, 
072.png: U-1, D-0, 
