000.png: U-1, D-1, 
001.png: U-0, D-1, 
002.png: U-1, D-0, 
003.png: U-1, D-1, 
004.png: U-0, D-1, 
005.png: U-1, D-0, 
006.png: U-0, D-1, 
007.png: U-1, D-1, 
008.png: U-0, D-1, 
009.png: U-0, D-1, 
010.png: U-0, D-1, 
011.png: U-1, D-0, 
012.png: U-1, D-0, 
013.png: U-1, D-0, 
014.png: U-1, D-0, 
015.png: U-1, D-0, 
016.png: U-1, D-0, 
017.png: U-1, D-0, 
018.png: U-0, D-1, 
019.png: U-1, D-0, 
020.png: U-1, D-1, 
021.png: U-1, D-0, 
022.png: U-0, D-1, 
023.png: U-1, D-0, 
024.png: U-0, D-1, 
025.png: U-1, D-0, 
026.png: U-0, D-1, 
027.png: U-1, D-1, 
028.png: U-0, D-1, 
029.png: U-0, D-1, 
030.png: U-1, D-0, 
031.png: U-0, D-1, 
032.png: U-1, D-0, 
033.png: U-0, D-1, 
034.png: U-1, D-0, 
035.png: U-0, D-1, 
036.png: U-0, D-1, 
037.png: U-1, D-0, 
038.png: U-1, D-1, 
039.png: U-0, D-1, 
040.png: U-0, D-1, 
041.png: U-1, D-1, 
042.png: U-1, D-0, 
043.png: U-1, D-0, 
044.png: U-0, D-1, 
045.png: U-1, D-1, 
046.png: U-1, D-0, 
047.png: U-0, D-1, 
048.png: U-1, D-1, 
049.png: U-0, D-1, 
050.png: U-1, D-1, 
051.png: U-1, D-0, 
052.png: U-1, D-0, 
053.png: U-1, D-0, 
054.png: U-0, D-1, 
055.png: U-1, D-1, 
056.png: U-0, D-1, 
057.png: U-1, D-1, 
058.png: U-1, D-0, 
059.png: U-0, D-1, 
060.png: U-0, D-1, 
061.png: U-0, D-1, 
062.png: U-0, D-1, 
063.png: U-0, D-1, 
064.png: U-1, D-0, 
065.png: U-1, D-0, 
066.png: U-1, D-0, 
067.png: U-0, D-1, 
068.png: U-1, D-0, 
069.png: U-1, D-1, 
070.png: U-0, D-1, 
071.png: U-1, D-0, 
072.png: U-1, D-0, 
073.png: U-0, D-1, 
074.png: U-1, D-0, 
075.png: U-1, D-0, 
076.png: U-1, D-1, 
077.png: U-0, D-1, 
078.png: U-1, D-1, 
079.png: U-1, D-0, 
080.png: U-0, D-1, 
081.png: U-1, D-1, 
082.png: U-1, D-0, 
083.png: U-1, D-0, 
084.png: U-0, D-1, 
085.png: U-0, D-1, 
086.png: U-1, D-1, 
087.png: U-1, D-0, 
088.png: U-0, D-1, 
089.png: U-1, D-0, 
090.png: U-1, D-0, 
091.png: U-0, D-1, 
092.png: U-0, D-1, 
093.png: U-0, D-1, 
094.png: U-1, D-1, 
095.png: U-0, D-1, 
096.png: U-0, D-1, 
097.png: U-0, D-1, 
098.png: U-1, D-0, 
099.png: U-0, D-1, 
100.png: U-1, D-0, 
101.png: U-0, D-1, 
102.png: U-0, D-1, 
103.png: U-0, D-1, 
104.png: U-1, D-0, 
105.png: U-1, D-1, 
106.png: U-1, D-1, 
107.png: U-0, D-1, 
108.png: U-0, D-1, 
109.png: U-1, D-0, 
110.png: U-1, D-0, 
111.png: U-0, D-1, 
112.png: U-0, D-1, 
113.png: U-0, D-1, 
114.png: U-1, D-0, 
115.png: U-0, D-1, 
116.png: U-1, D-1, 
117.png: U-1, D-0, 
118.png: U-0, D-1, 
119.png: U-1, D-0, 
120.png: U-1, D-0, 
121.png: U-1, D-0, 
122.png: U-1, D-0, 
123.png: U-1, D-0, 
124.png: U-1, D-0, 
125.png: U-1, D-0, 
126.png: U-1, D-0, 
127.png: U-1, D-0, 
128.png: U-1, D-0, 
129.png: U-1, D-0, 
130.png: U-1, D-1, 
131.png: U-0, D-1, 
132.png: U-0, D-1, 
133.png: U-1, D-0, 
134.png: U-1, D-0, 
135.png: U-0, D-1, 
136.png: U-1, D-0, 
137.png: U-0, D-1, 
138.png: U-0, D-1, 
139.png: U-0, D-1, 
140.png: U-1, D-0, 
141.png: U-1, D-1, 
142.png: U-1, D-1, 
143.png: U-1, D-0, 
144.png: U-1, D-1, 
145.png: U-1, D-1, 
146.png: U-0, D-1, 
147.png: U-0, D-1, 
148.png: U-0, D-1, 
149.png: U-0, D-1, 
150.png: U-1, D-0, 
151.png: U-1, D-1, 
152.png: U-1, D-0, 
153.png: U-0, D-1, 
154.png: U-0, D-1, 
155.png: U-1, D-0, 
156.png: U-0, D-1, 
157.png: U-0, D-1, 
158.png: U-1, D-0, 
159.png: U-1, D-0, 
160.png: U-1, D-1, 
161.png: U-1, D-0, 
162.png: U-0, D-1, 
163.png: U-1, D-0, 
164.png: U-0, D-1, 
165.png: U-0, D-1, 
166.png: U-1, D-1, 
167.png: U-0, D-1, 
168.png: U-0, D-1, 
169.png: U-0, D-1, 
170.png: U-1, D-1, 
